"Título","Responsable","Descripción","DoR","Criterios de aceptación","DoD","Riesgo","Tamaño","Frente"
"En móvil la hamburguesa del landing queda fuera de pantalla y no hay navegación","Julio Alejandro Cortes Burgos","Hoy: en acten.app desde un teléfono, el botón del menú se dibuja fuera del ancho de la pantalla y el contenido se recorta sin barra de desplazamiento, así que no hay forma de tocarlo; el visitante se queda sin navegación. Medido el 24-sep-2026: el borde derecho del botón cae en 445 px con pantallas de 375 y 430 px; a partir de 500 px ya se alcanza. Debería: el menú se abre en cualquier teléfono. Origen: revisión del sitio del 24-sep-2026. Respaldo: docs/items/ACT-260924-a1f3.md","Confirmado el ancho mínimo que soportamos (320 o 375 px) y que el botón Solicitar demo puede salir del encabezado en móvil porque ya está dentro del cajón.","1) A 375 px el botón del menú se ve completo y al tocarlo se abre el menú. 2) A 320 px el botón sigue dentro de la pantalla y Solicitar demo no se corta. 3) A 768 px no se ven a la vez el menú de escritorio y el botón. 4) Fallo: en ningún ancho entre 320 y 768 px queda un elemento del encabezado fuera de la pantalla.","Capturas a 320, 375, 430 y 768 px; guardas verdes (tests y build del frontend); recorrido real abriendo el menú desde un teléfono.","R1","S","Acten — Frontend"
"El Landing CMS se esconde del menú pero la API lo deja abierto a cualquier administrador","Julio Alejandro Cortes Burgos","Hoy: las entradas Landing CMS, Mensajes y Empresas se ocultan del menú con una condición de pantalla que el propio código llama cosmética; las rutas no tienen guarda propia y los endpoints del CMS del landing exigen solo rol admin del tenant Acten, no superadministrador. Es decir, cualquier administrador de la empresa Acten puede leer y escribir el contenido del landing público. Los endpoints de empresas sí exigen superadministrador. Debería: solo el superadministrador entra y solo él puede guardar. Origen: tarea de reunión acten:1866 + revisión del 24-sep-2026. Respaldo: docs/items/ACT-1866.md","Definido si alguien administra hoy el landing con rol admin (para no dejarlo afuera sin avisar) y con qué dos usuarios se va a probar.","1) Un superadministrador entra a /admin/landing-cms y guarda. 2) Un administrador de empresa que escribe la URL a mano no entra y la API le responde 403. 3) Un administrador de otra empresa tampoco lee el contenido. 4) Sin sesión va al login. 5) Fallo: ninguna ruta de superadministrador queda protegida solo por el menú.","Tests del backend que cubran el 403 por rol; prueba manual con dos usuarios reales; guardas verdes; acta de la prueba en la evidencia del ítem.","R3","S","Acten — Backend"
"Revisar y ajustar los permisos de superadministrador","Julio Alejandro Cortes Burgos","Hoy: las rutas de administración del panel cuelgan de una sola guarda que no distingue administrador de superadministrador; la diferencia se hace escondiendo entradas del menú. Recorridas las 18 pantallas como superadministrador, todas cargan sin errores y con todas las llamadas en 200, pero falta el inventario de qué rol exige cada una. Debería: cada ruta declara el rol que exige y el backend lo hace cumplir. Origen: tarea de reunión acten:1865 + revisión del 24-sep-2026. Respaldo: docs/items/ACT-1865.md","Cerrada la duda de qué quiso decir el pedido con errores de visualización, y resuelto antes el caso concreto del Landing CMS.","1) Existe una tabla ruta por rol y cada fila está comprobada. 2) Un administrador de empresa no entra por URL a ninguna pantalla de superadministrador y recibe 403 de la API. 3) Un usuario con rol admin y marca de superadministrador conserva el acceso completo. 4) Fallo: ninguna pantalla queda accesible solo porque el menú la esconde.","Tabla de rutas por rol probada con un usuario de cada tipo; un test por endpoint que suba de exigencia; guardas verdes.","R3","S","Acten — Backend"
"Guardar el audio y el vídeo de la reunión en dos archivos distintos","Julio Alejandro Cortes Burgos","Hoy: cada sesión guarda un solo objeto en el bucket de la empresa (recording.webm, tipo vídeo) y el modelo tiene un único campo para su clave; la grabación del navegador mezcla micrófono y pestaña en un solo flujo de audio. No hay dos archivos que separar: hay que producirlos. Debería: quedan dos objetos, audio y vídeo, cada uno con su clave, para transcribir y archivar sin arrastrar el peso del vídeo. Origen: tarea de reunión acten:1864 + revisión del 24-sep-2026. Respaldo: docs/items/ACT-1864.md","Decidido si el audio se extrae del vídeo en el servidor o el navegador manda dos flujos, y aprobada la migración del campo nuevo.","1) Una reunión grabada con vídeo deja dos objetos en el bucket y la sesión guarda ambas claves. 2) Una reunión solo con micrófono guarda el audio y deja la clave de vídeo vacía sin romper la pantalla. 3) Las sesiones ya grabadas se siguen viendo y reproduciendo. 4) Fallo: ningún archivo queda fuera de la carpeta de su empresa.","Tests del backend del almacenamiento de medios; dos grabaciones de prueba (con y sin vídeo) verificadas en el bucket y en la pantalla de la sesión; migración aplicada en local.","R2","M","Acten — Backend"
"Parametrizar el administrador para no tener el mismo código en dos carpetas","Julio Alejandro Cortes Burgos","Hoy: el SEO por pantalla ya está parametrizado (cada ruta declara título, descripción y robots, y un servicio los aplica). Lo que no se pudo ubicar en el repositorio son las dos carpetas con código repetido que menciona el pedido. Debería: una sola definición consumida por ambos lugares. Atención: el ítem está bloqueado hasta que quien lo pidió diga cuáles son esas dos carpetas; si no, se arregla algo que no era. Origen: tarea de reunión acten:1863 + revisión del 24-sep-2026. Respaldo: docs/items/ACT-1863.md","Identificadas las dos carpetas con el código repetido y aclarado si variables se refiere a las de entorno, a los tokens de diseño o a los textos del CMS. Sin esto no se puede planear.","1) Existe una sola definición y los dos lugares la consumen. 2) Un cambio en esa definición se refleja en ambos sin tocar nada más. 3) El SEO sigue saliendo en el idioma correcto en español, inglés y catalán. 4) Fallo: no queda ninguna copia de la definición.","Guardas verdes; prueba de cambiar el valor en su único lugar y ver los dos consumidores reflejarlo.","R2","S","Acten — Frontend"
"El resumen corta las etiquetas de Estado de seguimiento a la mitad","Julio Alejandro Cortes Burgos","Hoy: en una pantalla de 1440 px, la leyenda del gráfico de estado recorta todas las etiquetas porque el contenedor mide 49 px y los textos necesitan entre 73 y 120 px; se lee Com..., En pr..., Pendi..., Archi.... También se recortan Participantes, Confianza IA y los subtítulos de los accesos rápidos. Debería: las etiquetas se leen completas. Origen: revisión del sitio del 24-sep-2026. Respaldo: docs/items/ACT-260924-c4d9.md","Ninguno: se puede empezar.","1) A 1440 px se leen completas Completadas, En procesamiento, Pendientes y Archivadas. 2) A 1280 px siguen completas o se ajustan de forma legible, nunca cortadas a mitad de palabra. 3) En inglés y catalán tampoco se cortan. 4) Fallo: ningún elemento de la leyenda tiene su texto más ancho que su caja.","Capturas del resumen a 1280 y 1440 px en los tres idiomas; guardas verdes.","R1","XS","Acten — Frontend"
"El pie del login se amontona en pantallas de 1024 px","Julio Alejandro Cortes Burgos","Hoy: a 1024 px de ancho, Centro de ayuda se parte en dos líneas y la línea de copyright queda pegada a Privacidad sin separación (ambas caen en el mismo punto, 739 px). Debería: los tres elementos en una línea cada uno y con aire entre ellos. Origen: revisión del sitio del 24-sep-2026. Respaldo: docs/items/ACT-260924-b2c7.md","Ninguno: se puede empezar.","1) A 1024 px los tres elementos quedan en una línea cada uno y con separación visible. 2) A 900 px se apilan sin superponerse. 3) A 375 px el pie sigue legible y sin desbordes. 4) Fallo: en ningún ancho quedan dos textos a cero píxeles de distancia.","Capturas a 1024, 900 y 375 px; medición de que no haya dos textos pegados; guardas verdes.","R0","XS","Acten — Frontend"
"La marca se firma de tres maneras distintas entre el landing, el login y el dominio","Julio Alejandro Cortes Burgos","Hoy: el pie del landing dice Acten.ai, el del login dice Acten, Inc., el del panel dice Acten.ai, y el dominio y el correo de contacto son acten.app. Un cliente que evalúa el producto ve tres firmas distintas. Debería: la misma razón social en las tres pantallas. El texto del landing vive en el CMS, no en el código. Origen: revisión del sitio del 24-sep-2026. Respaldo: docs/items/ACT-260924-d5e1.md","Decidida cuál es la firma correcta: es una decisión de negocio, no técnica.","1) Landing, login y panel muestran la misma razón social. 2) Un tenant con marca propia sigue viendo la suya, sin que se pise con la de Acten. 3) El año del copyright se calcula solo. 4) Fallo: no queda ninguna pantalla con una firma distinta.","Capturas de las tres pantallas comparadas lado a lado; guardas verdes.","R0","XS","Acten — Producto"
"En el pie del landing Cookies y Seguridad llevan a Privacidad y el teléfono es de relleno","Julio Alejandro Cortes Burgos","Hoy: los enlaces Cookies y Seguridad del pie apuntan los dos a la página de privacidad, igual que el enlace Privacidad, y el bloque de contacto muestra el número +57 300 000 0000, que es de relleno. Debería: cada enlace lleva a su propio contenido o no se muestra, y el teléfono es real. Origen: revisión del sitio del 24-sep-2026. Respaldo: docs/items/ACT-260924-e6f2.md","Definido el teléfono real de contacto y si existen o no páginas propias de cookies y de seguridad.","1) Cookies y Seguridad llevan a contenido propio de cada tema. 2) Si una página no existe, el enlace no aparece en lugar de llevar a otra. 3) En inglés y catalán los enlaces y el teléfono son los mismos. 4) Fallo: ningún enlace del pie lleva a una página que no corresponde.","Recorrido de los cuatro enlaces del pie con el destino de cada uno anotado; captura del bloque de contacto.","R0","XS","Acten — Producto"
"La marca de la empresa se vuelve a pedir al servidor en cada navegación","Julio Alejandro Cortes Burgos","Hoy: recorriendo siete pantallas seguidas del panel se observó una llamada a la marca (/api/branding/) por cada cambio de ruta. La marca de una empresa cambia muy de vez en cuando, así que es trabajo repetido en cada navegación. Debería: pedirla una vez por sesión y refrescarla solo cuando cambia. Origen: revisión del sitio del 24-sep-2026. Respaldo: docs/items/ACT-260924-f7a4.md","Ninguno: se puede empezar.","1) Recorriendo cinco pantallas del panel, la marca se pide una sola vez. 2) Si un superadministrador cambia la marca, el panel la muestra sin recargar el navegador. 3) Al cambiar de empresa se vuelve a pedir. 4) Fallo: la marca de una empresa nunca se le muestra a otra.","Traza de red del recorrido con el conteo de llamadas antes y después; test que cubra el cambio de empresa; guardas verdes.","R1","S","Acten — Frontend"
